from,to,fft,cap,len
1,2,6,25900.20064,2.7
1,3,4,23403.47319,0.7
2,1,6,25900.20064,2.7
2,6,5,4958.180928,0.7
3,1,4,23403.47319,0.7
3,4,4,17110.52372,0.8
3,12,4,23403.47319,1.2
4,3,4,17110.52372,0.8
4,5,2,17782.7941,0.9
4,11,6,4908.82673,1.2
5,4,2,17782.7941,0.9
5,6,4,4947.995469,1
5,9,5,10000,0.6
6,2,5,4958.180928,0.7
6,5,4,4947.995469,1
6,8,2,4898.587646,0.6
7,8,3,7841.81131,1
7,18,2,23403.47319,0.6
8,6,2,4898.587646,0.6
8,7,3,7841.81131,1
8,9,10,5050.193156,1
8,16,5,5045.822583,0.6
9,5,5,10000,0.6
9,8,10,5050.193156,1
9,10,3,13915.78842,0.6
10,9,3,13915.78842,0.6
10,11,5,10000,0.9
10,15,6,13512.00155,1.3
10,16,4,4854.917717,1
10,17,8,4993.510694,1.166190379
11,4,6,4908.82673,1.2
11,10,5,10000,0.9
11,12,6,4908.82673,0.8
11,14,4,4876.508287,1.3
12,3,4,23403.47319,1.2
12,11,6,4908.82673,0.8
12,13,3,25900.20064,2.7
13,12,3,25900.20064,2.7
13,24,4,5091.256152,0.8
14,11,4,4876.508287,1.3
14,15,5,5127.526119,0.9
14,23,4,4924.790605,0.6
15,10,6,13512.00155,1.3
15,14,5,5127.526119,0.9
15,19,3,14564.75315,1
15,22,3,9599.180565,0.6
16,8,5,5045.822583,0.6
16,10,4,4854.917717,1
16,17,2,5229.910063,0.6
16,18,3,19679.89671,1
17,10,8,4993.510694,1.166190379
17,16,2,5229.910063,0.6
17,19,2,4823.950831,0.7
18,7,2,23403.47319,0.6
18,16,3,19679.89671,1
18,20,4,23403.47319,2.87923601
19,15,3,14564.75315,1
19,17,2,4823.950831,0.7
19,20,4,5002.607563,1.4
20,18,4,23403.47319,2.87923601
20,19,4,5002.607563,1.4
20,21,6,5059.91234,1
20,22,5,5075.697193,1.280624847
21,20,6,5059.91234,1
21,22,2,5229.910063,0.8
21,24,3,4885.357564,0.9
22,15,3,9599.180565,0.6
22,20,5,5075.697193,1.280624847
22,21,2,5229.910063,0.8
22,23,4,5000,0.9
23,14,4,4924.790605,0.6
23,22,4,5000,0.9
23,24,2,5078.508436,0.8
24,13,4,5091.256152,0.8
24,21,3,4885.357564,0.9
24,23,2,5078.508436,0.8
